publisher,safe_name,wiki_title,wiki_lang,wikidata_id,official_url,logo_filename,image_source_url,output_path,status
12bis,12bis,,,,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/12bis/folder.jpg,exists
6 Pieds Sous Terre,6 Pieds Sous Terre,,,,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/6 Pieds Sous Terre/folder.jpg,exists
Actes Sud,Actes Sud,,,,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Actes Sud/folder.jpg,exists
Actes Sud - L'An 2,Actes Sud - L'An 2,,,,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Actes Sud - L'An 2/folder.jpg,exists
Active Images,Active Images,ActiveX,fr,Q302022,,ActiveX logo.svg,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Active Images/folder.jpg,no_image
Alayone Comics,Alayone Comics,,fr,,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Alayone Comics/folder.jpg,no_image
Albin Michel,Albin Michel,,,,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Albin Michel/folder.jpg,exists
Alpen Publishers,Alpen Publishers,Alpen Publishers,fr,Q19606339,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Alpen Publishers/folder.jpg,no_image
Amok éditions,Amok éditions,,,,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Amok éditions/folder.jpg,exists
André Jobin,André Jobin,,,,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/André Jobin/folder.jpg,exists
Ankama Éditions,Ankama Éditions,Ankama Éditions,fr,Q28493261,https://www.ankama.com/fr/editions,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Ankama Éditions/folder.jpg,no_image
Appro,Appro,,,,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Appro/folder.jpg,exists
Arboris,Arboris,,,,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Arboris/folder.jpg,exists
Artège Éditions,Artège Éditions,,,,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Artège Éditions/folder.jpg,exists
Audie,Audie,,,,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Audie/folder.jpg,exists
Auto-édition,Auto-édition,Auto-édition,fr,Q1568650,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Auto-édition/folder.jpg,no_image
Autrement,Autrement,,,,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Autrement/folder.jpg,exists
BD Must,BD Must,,,,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/BD Must/folder.jpg,exists
BD Star,BD Star,Star Wars (bande dessinée),fr,Q857836,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/BD Star/folder.jpg,no_image
BDouin,BDouin,Norédine Allam,fr,Q3344276,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/BDouin/folder.jpg,no_image
Bac@Bd,Bac@Bd,,,,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Bac@Bd/folder.jpg,exists
Bamboo Édition,Bamboo Édition,,,,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Bamboo Édition/folder.jpg,exists
Bayard,Bayard,,,,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Bayard/folder.jpg,exists
Bibliotheca Virtualis,Bibliotheca Virtualis,,,,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Bibliotheca Virtualis/folder.jpg,exists
Bidouille,Bidouille,Bidouille et Violette,fr,Q956747,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Bidouille/folder.jpg,no_image
Blake et Mortimer,Blake et Mortimer,,,,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Blake et Mortimer/folder.jpg,exists
Bliss Comics,Bliss Comics,,,,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Bliss Comics/folder.jpg,exists
Boomerang,Boomerang,,,,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Boomerang/folder.jpg,exists
Bragelonne - Milady,Bragelonne - Milady,,,,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Bragelonne - Milady/folder.jpg,exists
